datum	n	anteil_bev	viruslast	viruslast_normalisiert	vorhersage	obere_schranke	untere_schranke	typ
2023-11-29	28	0.03130410332194567	1174.82	1434.6160056591846	1043.2209163409393	1445.77976591373	752.7494200359205	Influenza A
2023-12-06	42	0.06614353242982404	1233.91	1567.4604191419494	1988.817111872003	2522.140875483704	1568.2682688041036	Influenza A
2023-12-13	47	0.07630541883308146	5126.07	9934.334170280134	3559.4899511085628	4582.657018058427	2764.7647777513216	Influenza A
2023-12-20	29	0.031379673346641955	7673.45	10611.250029962843	5565.153224174083	7381.327368477407	4195.8483701453515	Influenza A
2024-01-03	32	0.03782491332118167	6682.81	11679.561827269787	8422.893772481399	10582.87616672324	6703.767329866863	Influenza A
2024-01-10	57	0.08823362861357337	8659.61	12335.398938556813	9867.08356478745	12353.839062258068	7880.897394230998	Influenza A
2024-01-17	67	0.10420661876060536	11720.99	18804.61131715097	12884.644192228416	15808.3079967021	10501.69670245285	Influenza A
2024-01-24	54	0.08039795945522962	20443.14	34708.06811381758	17724.91336320635	20960.85536146719	14988.536885318215	Influenza A
2024-01-31	73	0.12515204540792374	21561.79	27068.627331806827	21953.490019633104	26101.535644355474	18464.65014966866	Influenza A
2024-02-07	72	0.11646864060312823	21044.28	33570.37860478789	20979.628655986704	25103.394115722916	17533.27922567348	Influenza A
2024-02-14	73	0.12515204540792374	19547.7	29236.17124164972	15048.086825210845	17841.652659420324	12691.924981485508	Influenza A
2024-02-21	74	0.12576391959847247	9279.59	12942.69611001038	9101.620726438077	11011.709025170798	7522.855867201987	Influenza A
2024-02-28	73	0.12478595457299113	3410.98	4207.5525873713605	5255.1044341593415	6426.52919543427	4297.2064350911305	Influenza A
2024-03-06	73	0.12159548889034695	3830.22	4687.689900679586	3187.775122204688	3791.240290564474	2680.365645785569	Influenza A
2024-03-13	73	0.12390662769268593	2190.27	2161.6034738151648	2109.5960216165545	2493.8755708516173	1784.5298403964305	Influenza A
2024-03-20	72	0.12064747922994916	1450.75	1607.9618565316596	1570.222365067885	1882.7090653083062	1309.6013192859537	Influenza A
2024-03-27	68	0.1223652125630691	1340.83	1435.7893319508723	1337.653024101103	1577.208572853395	1134.4825558801645	Influenza A
2024-04-03	54	0.07924211148220439	1328.42	1389.6096141423911	1260.6838211665818	1478.9545294063578	1074.6264779277003	Influenza A
2024-04-10	71	0.11871071729348594	1126.09	958.5958657055138	1254.6631151246415	1502.992640548276	1047.3634334496976	Influenza A
2024-04-17	47	0.07413809423303508	1242.49	1603.086896216459	1263.1500652190036	1502.6869959419369	1061.7966958998188	Influenza A
2024-04-24	49	0.0782721361346282	1986.75	2099.0538049051574	1267.6463278179476	1488.6337145957466	1079.4644758309162	Influenza A
2024-05-01	50	0.06117388164809511	1172.3	1112.471173768137	1266.2674440452627	1505.1590593674068	1065.2915583040228	Influenza A
2024-05-08	48	0.07529775923319007	1108.09	1554.8630193427343	1257.4636088256364	1486.2679331804957	1063.8826904763523	Influenza A
2024-05-15	45	0.06881341251175262	1301.16	1188.3848947412425	1242.668897832204	1439.0341040124404	1073.0989525083244	Influenza A
